
time;gFx;gFy;gFz;Azimuth;Pitch;Roll;Gain;
11,5910;0,9160;-0,2515;-0,3072;-58,878;14,591;-108,540;98,7098;
11,6210;0,9160;-0,2515;-0,3072;-58,878;14,591;-108,540;98,7098;
11,7140;0,9160;-0,2515;-0,3072;-58,878;14,591;-108,540;98,7098;
11,7520;0,8989;-0,2505;-0,2706;-58,227;14,943;-106,751;98,7098;
11,8210;0,8989;-0,2505;-0,2706;-58,227;14,943;-106,751;98,6052;
11,9130;0,9033;-0,2398;-0,2935;-57,882;14,169;-108,002;98,6052;
11,9140;0,9033;-0,2398;-0,2935;-57,978;14,169;-108,002;98,6052;
12,0210;0,9033;-0,2398;-0,2935;-57,978;14,169;-108,002;98,6052;
12,0740;0,9141;-0,2271;-0,2618;-55,361;13,432;-105,981;98,6052;
12,1140;0,9141;-0,2271;-0,2618;-55,248;13,432;-105,981;97,8586;
12,2210;0,9141;-0,2271;-0,2618;-55,248;13,432;-105,981;97,8586;
12,2350;0,9004;-0,2334;-0,3170;-58,163;13,742;-109,395;97,8586;
12,3140;0,9004;-0,2334;-0,3170;-58,163;13,742;-109,395;97,8586;
12,3960;0,8735;-0,2588;-0,3243;-61,337;15,525;-110,369;97,6426;
12,4210;0,8735;-0,2588;-0,3243;-61,337;15,525;-110,369;97,6426;
12,5140;0,8735;-0,2588;-0,3243;-61,597;15,525;-110,369;97,6426;
12,5570;0,8994;-0,2520;-0,3316;-60,349;14,729;-110,241;97,6426;
12,6210;0,8994;-0,2520;-0,3316;-60,349;14,729;-110,241;97,6426;
12,7140;0,8994;-0,2520;-0,3316;-60,268;14,729;-110,241;97,4149;
12,7170;0,8896;-0,2657;-0,3175;-61,415;15,710;-109,639;97,4149;
12,8210;0,8896;-0,2657;-0,3175;-61,415;15,710;-109,639;97,4149;
12,8790;0,8623;-0,2823;-0,3439;-64,246;16,914;-111,741;97,4149;
12,9140;0,8623;-0,2823;-0,3439;-64,246;16,914;-111,741;97,4149;
13,0210;0,8623;-0,2823;-0,3439;-64,246;16,914;-111,741;99,4330;
13,0400;0,8818;-0,2652;-0,3082;-61,428;15,849;-109,264;99,4330;
13,1140;0,8818;-0,2652;-0,3082;-61,616;15,849;-109,264;99,4330;
13,2010;0,9072;-0,2623;-0,3229;-60,840;15,235;-109,589;99,4330;
13,2210;0,9072;-0,2623;-0,3229;-60,840;15,235;-109,589;99,4330;
13,3140;0,9072;-0,2623;-0,3229;-60,922;15,235;-109,589;99,7412;
13,3620;0,9063;-0,2544;-0,3194;-60,208;14,831;-109,416;99,7412;
13,4210;0,9063;-0,2544;-0,3194;-60,208;14,831;-109,416;99,7412;
13,5140;0,9063;-0,2544;-0,3194;-60,388;14,831;-109,416;99,7412;
13,5220;0,8716;-0,2378;-0,3106;-59,879;14,415;-109,617;99,7412;
13,6210;0,8716;-0,2378;-0,3106;-59,879;14,415;-109,617;99,8875;
13,6840;0,8877;-0,2461;-0,3057;-59,930;14,690;-109,005;99,8875;
13,7140;0,8877;-0,2461;-0,3057;-60,192;14,690;-109,005;99,8875;
13,8200;0,8877;-0,2461;-0,3057;-60,192;14,690;-109,005;99,8875;
13,8440;0,8926;-0,2471;-0,2965;-59,853;14,721;-108,374;99,8875;
13,9140;0,8926;-0,2471;-0,2965;-60,118;14,721;-108,374;100,2365;
14,0050;0,9048;-0,2461;-0,2906;-59,438;14,521;-107,806;100,2365;
14,0200;0,9048;-0,2461;-0,2906;-59,438;14,521;-107,806;100,2365;
14,1140;0,9048;-0,2461;-0,2906;-59,531;14,521;-107,806;100,2365;
14,1660;0,9121;-0,2466;-0,3038;-59,716;14,388;-108,421;100,2365;
14,2210;0,9121;-0,2466;-0,3038;-59,716;14,388;-108,421;98,8711;
14,3140;0,9121;-0,2466;-0,3038;-59,899;14,388;-108,421;98,8711;
14,3270;0,9038;-0,2510;-0,3009;-60,481;14,763;-108,412;98,8711;
14,4210;0,9038;-0,2510;-0,3009;-60,481;14,763;-108,412;98,8711;
14,4880;0,9292;-0,2476;-0,3043;-59,439;14,210;-108,132;98,8711;
14,5140;0,9292;-0,2476;-0,3043;-59,623;14,210;-108,132;99,0976;
14,6190;0,9292;-0,2476;-0,3043;-59,623;14,210;-108,132;99,0976;
14,6470;0,9185;-0,2359;-0,2901;-58,517;13,760;-107,530;99,0976;
14,7120;0,9185;-0,2359;-0,2901;-58,595;13,760;-107,530;99,0976;
14,8080;0,8906;-0,2403;-0,2984;-60,166;14,349;-108,524;99,5377;
14,8180;0,8906;-0,2403;-0,2984;-60,166;14,349;-108,524;99,5377;
